Reward Points Information,Reward Points Information
- Plesase Select -,- Plesase Select -
-- Please Select --,-- Please Select --
[Customer ID: %1] Account points is not enough points to create a transaction.,[Customer ID: %1] Account points is not enough points to create a transaction.
[GLOBAL],[GLOBAL]
[ID: %1] Account points is not enough points to delete transaction,[ID: %1] Account points is not enough points to delete transaction
[STORE VIEW],[STORE VIEW]
[WEBSITE],[WEBSITE]
%1 Item(s),%1 种
%1 need to earn more %1 to use this rule.,%1 need to earn more %1 to use this rule.
%1 off,%1 off
%1 Used,%1 Used
%1 will expire in %2 day(s),%1 将在 %2 天后过期
"<a href=""%1"">%2</a>","<a href=""%1"">%2</a>"
"<a href=""%1"">View</a>","<a href=""%1"">View</a>"
"<a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>","<a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>"
<b>%1</b> have <b>%2</b> available.,<b>%1</b> have <b>%2</b> available.
<b>%1</b> will spend ,<b>%1</b> will spend 
"<img src=""%1"" alt=""Reward Points""/>","<img src=""%1"" alt=""Reward Points""/>"
"<span style=""font-size: 1.4rem; font-weight: bold"">[' . . ']</span>","<span style=""font-size: 1.4rem; font-weight: bold"">[' . . ']</span>"
