"Save and Duplicate","Save and Duplicate"
"Save Rule","Save Rule"
"Save and Continue Edit","Save and Continue Edit"
Delete,Delete
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
Actions,Actions
"Points (X)","Points (X)"
"Maximum per day","Maximum per day"
"Maximum number of earned points for one customer per day","Maximum number of earned points for one customer per day"
"Set 0 to disable limit.","Set 0 to disable limit."
"Maximum per month","Maximum per month"
"Maximum number of earned points for one customer per month","Maximum number of earned points for one customer per month"
"Maximum per year","Maximum per year"
"Maximum number of earned points for one customer per year","Maximum number of earned points for one customer per year"
Conditions,Conditions
Events,Events
"Apply the rule only to customer attributes matching the following conditions.","Apply the rule only to customer attributes matching the following conditions."
"General Information","General Information"
"Message in the rewards history","Message in the rewards history"
"Message for customer notification email","Message for customer notification email"
